Symbol,Name,Current Price,Market Cap (mil),RS Rating,Comp Rating,EPS Rating,SMR Rating,A/D Rating,Quality Score,% Chg 3 Months,% Chg 6 Months,% Chg 12 Months,Sector,ROE
CLS,Celestica,296.62,34120.8,98,99,99,A,A-,95.3,80.9,221.9,336.6,ELECTRNCS,25.1
EME,EMCOR Group,748.24,33494.2,91,99,98,A,A,94.6,29.3,86.8,67.7,BUSINS SVC,37.3
CAMT,Camtek,119.15,5433.6,89,97,96,A,A+,94.45,26.4,78,53.6,ELECTRNCS,27
NXT,Nextracker,98.28,14541.8,97,98,96,A,A-,94.2,55,132.1,214.1,ENERGY,48.7
APH,Amphenol Cl A,133.82,163383.6,93,99,99,A,A-,94.05,28.1,76,91.7,ELECTRNCS,26.3
FSM,Fortuna Mining,8.16,2502,90,99,94,A,A,93.55,18.4,33.1,56.9,MINING,6.5
GLW,Corning,87.41,74877,94,98,89,A,A,93.3,56.9,99.2,86.7,ELECTRNCS,15.3
IBEX,IBEX,38.19,508.5,93,97,97,A,A-,93.15,25.2,55.5,110.9,BUSINS SVC,28.7
PAHC,Phibro Animal Health,42.33,1715.8,95,98,93,A,A-,93.1,43.8,134.9,80.8,MEDICAL,31.3
AVGO,Broadcom,354.13,1672331.1,93,99,99,A,B+,92.8,22.7,88.2,106.7,CHIPS,51.8
MU,Micron Technology,219.02,245842.5,97,99,81,A,A,92.7,96,182.9,105,COMPUTER,19.1
VRT,Vertiv Holdings,186.06,71137.8,93,99,98,A,B+,92.6,42.2,121.8,69.1,MACHINE,49.6
WDC,Western Digital,129.43,44902.1,97,99,80,A,A,92.5,87.5,222.2,158.3,COMPUTER,22.5
MEDP,Medpace Holdings,605.2,17001.9,94,98,97,A,B+,92.4,32.8,99.8,84.5,MEDICAL,58.4
ATAT,Atour Lifestyle Hldgs ADR,39.8,5554.6,88,97,98,A,A-,92.1,11.5,67.4,52.1,LEISURE,52.2
RMBS,Rambus,105.42,11342.5,95,99,99,A,B,92.05,64.2,113.6,150.8,CHIPS,18.2
AII,Amer Integrity Ins,24.16,472.8,89,98,81,A,A+,91.7,38,NA,NA,INSURANCE,26.8
PRIM,Primoris Services,142.37,7689.7,95,99,97,B,A,91.65,58.3,139.5,132.1,BUILDING,16
GILT,Gilat Satellite Networks,14.86,847.3,97,98,89,B,A+,91.55,91,135.9,202,TELECOM,9.8
IESC,IES Holdings,436.98,8675.8,94,98,98,A,B,91.35,33.1,123.3,107.9,BUSINS SVC,40.7
IRMD,iRadimed,78.47,998.1,90,95,94,A,A-,91.3,38.6,47.7,55.4,MEDICAL,26.8
SHOP,Shopify,172.95,224776.2,94,96,94,A,B+,91.3,41.7,81.8,116.7,SOFTWARE,15.9
UI,Ubiquiti,735.63,44504.1,96,98,89,A,B+,91.3,64.4,135.1,192.1,TELECOM,173.9
PEGA,Pegasystems,66.27,11247.5,86,97,96,A,A-,91.2,14.1,45.1,65.8,SOFTWARE,57.6
ATGE,Adtalem Global Education,152.97,5557.6,92,95,97,A,B+,91.15,33.8,46.5,110.2,CONSUMER,18.2
FIX,Comfort Systems USA,981.66,34633.9,96,99,99,A,B-,91.05,74.4,160.9,137.4,BUILDING,35
NVMI,Nova,345.06,10144.8,92,98,99,A,B,91.05,31.9,75.4,88,CHIPS,25.6
ANIP,ANI Pharmaceuticals,94.24,2044.9,91,98,93,A,B+,90.85,41.1,35.3,59,MEDICAL,24.8
KGC,Kinross Gold,23.94,29177.6,95,99,93,A,B,90.85,51.1,63.2,122.7,MINING,13
MPWR,Monolithic Power Systems,1074.91,51479.6,92,98,98,A,B,90.85,50.8,85.1,19.4,CHIPS,26.6
AWI,Armstrong Wrld Ind,203.32,8795.2,87,96,94,A,A-,90.8,21.3,46.9,45.2,BUILDING,NA
ENSG,Ensign Group,186.05,10735.1,85,98,94,A,A-,90.8,35,49,25,MEDICAL,19.3
GFI,Gold Fields ADR,40.3,36086.4,96,99,97,A,B-,90.65,63.5,79.8,125.5,MINING,25.3
ASML,ASML Holding,1033.1,406421.5,91,97,93,A,B+,90.6,42.5,53.1,45.3,CHIPS,47.8
MDB,MongoDB,333.57,27137.9,90,98,99,A,B,90.55,41.8,92.6,26.6,SOFTWARE,16
BE,Bloom Energy,110.38,25828.6,99,99,80,B,A+,90.5,233.9,508.5,1101.1,ENERGY,12.1
SEI,Solaris Energy Infr,50.92,3441.3,97,98,96,B,A-,90.45,50.5,153.1,284,CHEMICAL,8.8
BELFB,Bel Fuse Cl B,157,1988.1,95,98,73,A,A,90.35000000000001,52.5,123.8,99.9,ELECTRNCS,20.6
FN,Fabrinet,421,15041.9,93,98,88,A,B+,90.35,38.1,111.6,71.5,ELECTRNCS,19.8
TPR,Tapestry,114.71,23873.8,92,95,93,A,B+,90.35,5.8,68,157.9,APPAREL,60.4
TSM,Taiwan Semiconductor ADR,294.96,1529816.8,89,99,98,A,B,90.35,22.1,79.7,49,CHIPS,30.1
ASM,Avino Silver & Gold Mines,4.85,717,98,99,80,A,B+,90.25,37,122.5,227.7,MINING,7
AAMI,Acadian Asset Management,48.19,1798.3,93,96,96,A,B,90.2,20.6,78.7,85.1,FINANCE,154.9
APP,AppLovin,620,209714.4,97,99,81,A,B+,90.2,72.3,131.4,289.9,SOFTWARE,135.9
BVN,Minas Buenaventura ADR,22.47,5707.1,92,97,96,A,B,90.2,26.4,49.9,66.3,MINING,12.9
GOOG,Alphabet Cl C,260.51,3150607.9,90,98,97,A,B,90.15,34.8,61.3,58.3,INTERNET,31.9
GOOGL,Alphabet Cl A,259.92,3143472.5,90,98,97,A,B,90.15,35.3,63.2,59.7,INTERNET,31.9
HWM,Howmet Aerospace,198.51,80024.5,90,97,98,A,B,90.1,6.3,48.7,97.3,AEROSPACE,25.8
FUTU,Futu Holdings ADR,178.38,24605,93,98,99,A,B-,90.05,6.9,90,102.4,FINANCE,21.9
POWL,Powell Industries,364.99,4404.7,92,95,91,A,B+,89.95,52,98,46.2,MACHINE,36.2
BZ,Kanzhun ADR,22.14,9783.2,87,98,99,A,B,89.8,10.1,51.6,54.8,INTERNET,19.2
REZI,Resideo Technologies,44.5,6620,97,95,84,B,A+,89.8,82.9,176.4,120.3,BUSINS SVC,11.9
STRL,Sterling Infrastructure,379.08,11531.2,96,99,99,B,B+,89.8,50,159.6,147.2,BUILDING,28.8
USLM,U.S. Lime & Minerals,134.35,3846.7,84,96,99,A,B+,89.8,25,42.3,30.9,BUILDING,24.4
ERO,Ero Copper,20.79,2153.3,90,99,87,A,B+,89.65,42.9,64.2,6.6,MINING,11.6
BELFA,Bel Fuse A,138.74,1740.5,92,98,73,A,A,89.60000000000001,51.8,108.9,34.5,ELECTRNCS,20.6
OR,OR Royalties,33.35,6235.7,90,99,93,A,B,89.6,19.5,42.7,61.4,MINING,8
COHR,Coherent,129.34,20151.8,91,97,81,A,A-,89.45,31,103.7,33.7,ELECTRNCS,12.8
CVCO,Cavco Industries,590.92,4678.3,87,94,96,A,B+,89.45,43.4,20.9,42,BUILDING,17
NVT,nVent Electric,102.2,16448.8,91,99,91,A,B,89.45,32.6,87,37.8,MACHINE,13.1
AEIS,Advanced Energy Inds,202.61,7642.4,94,98,88,B,A,89.35,43.8,109,88.7,CHIPS,12
ARRY,Array Technologies,8.95,1366.9,89,98,94,A,B,89.3,34,96.3,45.1,ENERGY,208.1
LRCX,Lam Research,151.68,191969.4,95,97,94,A,B-,89.3,55.1,113.9,98.1,CHIPS,57.9
DLO,dLocal,15.13,4443.7,92,97,91,A,B,89.2,39.7,67.2,72.9,FINANCE,33
EGO,Eldorado Gold,26.04,5325.7,89,97,76,A,A,89.2,27.2,34.2,44.7,MINING,8.7
TTMI,TTM Technologies,58.75,6069.6,97,98,96,B,B+,89.2,32.7,193.2,205,ELECTRNCS,11.4
PRM,Perimeter Solutions,22.05,3229.3,92,92,78,A,A,89.10000000000001,31.3,115.1,65.4,CHEMICAL,14.2
TIGR,UP Fintech Holding ADR,10.28,1816.1,84,98,99,A,B,89.05,-5.1,35.4,67.4,FINANCE,12.3
VAL,Valaris,56.68,4036.4,83,94,99,A,B+,89.05,11.8,75,12.3,ENERGY,14
YMM,Full Truck Alliance ADR,13.04,13665,80,97,99,A,B+,89.05,10.2,15.8,44.6,INTERNET,10.9
WLDN,Willdan Group,102.37,1501.3,96,99,95,B,B+,89,24.6,167.8,131.4,BUILDING,16
CMCL,Caledonia Mining,31.72,609.5,97,99,81,A,B,88.95,45.5,137.8,99.9,MINING,10
ULS,UL Solutions,80,16014.3,87,91,91,A,A-,88.95,13.3,38.2,51.2,BUSINS SVC,46.3
BWMN,Bowman Consulting,44.05,759.9,94,95,88,B,A,88.6,22.5,96.6,116.1,BUSINS SVC,10.2
ENLT,Enlight Renewable Energy,34.39,4106.9,95,98,83,B,A,88.6,34.9,117,118.3,ENERGY,3.8
ZS,Zscaler,323,51130.9,90,96,98,A,B-,88.6,13.6,53.7,75.6,SOFTWARE,34.8
AMRX,Amneal Pharmaceuticals,10.55,3313.5,85,92,90,A,A-,88.5,31.9,42.2,27,MEDICAL,NA
FTDR,Frontdoor,68.83,5137.1,86,97,95,A,B,88.5,17.3,70,37.1,BUSINS SVC,139.2
HMY,Harmony Gold Mining ADR,17.49,11064.8,88,99,96,A,B-,88.45,23,9.4,50.8,MINING,32
MLI,Mueller Industries,102.99,11433.2,83,94,96,A,B+,88.45,16.6,39.2,25.9,METALS,23.7
B,Barrick Mining,32.48,55410.7,94,99,88,A,B-,88.35,50.8,67.3,59.8,MINING,9.3
DRD,DRDGOLD ADR,25.15,2174.4,96,98,93,A,C+,88.35,76.6,65,104,MINING,28.1
PLTR,Palantir Technologies,184.63,438005.5,96,99,98,A,C,88.35,19.2,71.3,323.9,SOFTWARE,23.6
PWR,Quanta Services,440.93,65700.8,84,96,98,A,B,88.35,8.3,56.3,42.3,BUILDING,19.8
CTRE,CareTrust REIT,35.17,7853.5,78,96,92,A,A-,88.15,12.5,24.9,13.7,REAL EST,7.8
PSTG,Pure Storage Cl A,93.79,30653.5,94,96,72,A,A-,88.15,64.7,107.8,75.5,COMPUTER,45.1
ODC,Oil-Dri of America,59.79,875.5,86,93,98,A,B,88.1,-0.3,42.5,71.2,CONSUMER,23
BBVA,Banco Bilbao Vizcaya ADR,19.64,125041.6,92,94,95,A,B-,88,29,39.5,100,BANKS,17.6
INOD,Innodata,76.65,2440.9,97,96,80,A,B,88,65.5,104.6,300.1,BUSINS SVC,52.2
BOOT,Boot Barn Holdings,196.97,6018.4,86,94,96,A,B,87.95,17.6,92.8,22.5,RETAIL,16.6
ENVA,Enova International,124.7,3119,82,96,91,A,B+,87.7,11.6,26.7,41.1,FINANCE,21.2
CIEN,Ciena,179.05,25255.9,97,99,87,B,B+,87.65,105.4,178.5,171,TELECOM,9.4
DAVE,Dave,248.67,3256.1,98,97,82,A,B-,87.65,19,176.4,523.5,BUSINS SVC,53.7
GE,GE Aerospace,303.87,320526,89,99,97,A,C+,87.65,13.4,53.9,69.1,AEROSPACE,21.4
SBS,SABESP ADR,24.72,16896.3,88,93,99,A,B-,87.55,25.4,22.3,55.4,UTILITY,28.6
IBM,IBM,307.46,286404.8,85,91,86,A,A-,87.45,18,34.1,40.8,BUSINS SVC,38.9
OPRX,OptimizeRx,21.68,402.5,98,98,92,B,B,87.4,55.5,158.7,298.5,SOFTWARE,5.1
ANET,Arista Networks,153.82,193331,91,99,99,A,C,87.3,34.9,104.3,55.5,COMPUTER,33.8
HOOD,Robinhood Markets,139.79,124227.9,98,97,80,A,B-,87.25,37.1,190.3,413.6,FINANCE,13.5
PI,Impinj,235.83,6860.1,95,94,75,A,B+,87.25,95.2,162.8,22.7,CHIPS,68.4
BWXT,BWX Technologies,203.28,18571.7,93,95,88,A,B-,87.1,41.3,88.3,66.1,MACHINE,30.4
CRUS,Cirrus Logic,130.6,6704,84,94,94,A,B,87.05,30.2,41.3,8.2,CHIPS,22.1
AMSC,American Superconductor,59.58,2690.6,96,98,80,A,B-,87,38.5,196,163.2,MACHINE,13.9
TME,Tencent Music Ent ADR,22.9,35406.8,93,99,95,A,C,87,7.9,72.2,100.3,INTERNET,12.4
ATLC,Atlanticus Holdings,61.24,926.3,83,96,86,A,B+,86.95,19.6,9.4,66.1,FINANCE,25.1
ACMR,ACM Research Cl A,41.72,2677.6,95,95,78,A,B,86.85000000000001,40,99.8,116.8,CHIPS,18.2
IMAX,Imax,31.7,1704.9,86,93,98,A,B-,86.85,12.1,36.1,57.9,LEISURE,17.8
KLAC,KLA,1182.82,156086.1,92,97,98,A,C,86.85,30.8,71.6,77.6,CHIPS,110.5
FER,Ferrovial,64.4,47393.8,88,97,84,B,A,86.8,19.6,34.6,57.3,BUILDING,64.2
ATI,ATI,89.25,12301.5,86,94,96,B,A-,86.7,-4.3,70.2,45.1,METALS,22
VSEC,VSE,182.99,3783.5,93,96,91,B,B+,86.7,36.5,60.9,79.7,BUSINS SVC,5.8
NMRK,Newmark Group,19.48,3442.3,91,96,86,A,B-,86.45,44.7,73.9,26.6,REAL EST,25.6
ARMN,Aris Mining,9.93,1698.4,95,99,77,A,B-,86.4,34.9,81.5,110.8,MINING,7.9
PATH,UiPath,16.48,8751.2,87,95,92,A,B-,86.4,33.8,45.6,32.1,SOFTWARE,15.6
HL,Hecla Mining,12.95,8188.4,97,99,80,B,B+,86.25,109.5,120.2,85.5,MINING,3.4
KRYS,Krystal Biotech,186.13,5387,77,98,81,A,A-,86.2,24.1,10.1,6.4,MEDICAL,11.8
TMDX,TransMedics Group,130.52,4449.4,89,96,81,A,B,86.2,22.2,38.6,7,MEDICAL,19.4
AIR,AAR Corp,86.48,3123,86,96,97,B,B+,86.15,11.6,64.3,41.2,AEROSPACE,11.6
PDFS,PDF Solutions,28.11,1110.1,76,91,97,A,B+,86.15,18.3,51.5,-2.6,SOFTWARE,13.7
AEM,Agnico-Eagle Mines,163.35,82291.3,92,99,98,A,C-,86.1,29.9,36.5,85.8,MINING,10.5
AXON,Axon Enterprise,735.95,57775,81,94,99,A,B-,86.05,3.8,24.6,66.1,BUSINS SVC,23.6
TREE,LendingTree,62.86,856.2,85,94,94,A,B-,86.05,24.9,22,17,FINANCE,37
EBAY,eBay,97.2,44420.4,88,93,85,A,B,86,17.9,44.6,52.9,RETAIL,42.3
SHC,Sotera Health,16.86,4789,86,93,68,A,A,85.85000000000001,39.2,49.2,9.1,MEDICAL,46.8
UTI,Universal Tech Institute,34.49,1877,88,97,98,B,B,85.85,9.4,23.9,110.2,CONSUMER,17.3
NVDA,NVIDIA,186.26,4526118,85,99,99,A,C,85.8,7.2,75,32.7,CHIPS,121.4
RDVT,Red Violet,54.03,755.2,90,92,89,A,B-,85.8,20,43.8,88.3,BUSINS SVC,13.3
TFPM,Triple Flag Prec Metals,28.76,5793.2,90,99,99,A,C-,85.8,21.8,35,57.5,MINING,6.3
VIAV,Viavi Solutions,13.75,3061.5,88,97,79,B,A,85.8,35.2,33.5,49.5,TELECOM,14.4
AYI,Acuity,368.27,11285.3,83,94,95,A,B-,85.75,23.9,51.3,23.2,BUILDING,22.3
BTSG,BrightSpring Hlth Svcs,33.53,6028.7,95,99,80,C,A+,85.75,62.3,102.6,115.6,MEDICAL,4.6
ESE,ESCO Technologies,221.25,5713.6,90,97,95,B,B,85.75,17.5,40.1,71.7,MACHINE,9.7
FTK,Flotek Industries,16.84,502.8,96,98,80,B,B+,85.75,34,131,245.1,ENERGY,9.7
MPAA,Motorcar Parts of Amer,16.92,327.4,96,98,80,C,A+,85.75,39.6,78.7,207.1,AUTO,4.6
MVST,Microvast Holdings,5.69,1851.3,99,95,80,C,A+,85.75,70.4,164.7,2613.4,MACHINE,-17.8
ROAD,Construction Ptrs Cl A,117.99,6618.1,87,99,96,B,B,85.7,14.2,45.4,49.2,BUILDING,12.6
SMTC,Semtech,67.79,5882.3,91,98,73,A,B,85.60000000000001,29.1,131,53.7,CHIPS,57
AAPL,Apple,262.82,3900351.3,80,90,84,A,A-,85.55,23,26.1,14,TELECOM,174.6
ORLA,Orla Mining,10.78,3504.8,89,99,99,A,C-,85.55,7.1,-0.6,109.7,MINING,17.9
TEL,TE Connectivity,235.65,69630.1,89,97,89,B,B+,85.55,14.6,64.2,60.4,ELECTRNCS,19.6
DORM,Dorman Products,158.03,4825.3,86,95,95,B,B+,85.5,30,38.4,38.4,AUTO,17.9
NUTX,Nutex Health,125.57,698.8,97,91,80,A,B-,85.5,31.1,-10.6,410.9,MEDICAL,50.2
RYAAY,Ryanair Holdings ADR,61.56,32703.8,78,97,90,A,B,85.5,-1.7,32.7,38.1,TRANSPRT,22.5
FIVE,Five Below,156.29,8618.6,92,93,96,A,C,85.45,14,105.5,75.4,RETAIL,16.4
GHM,Graham Corp,62.38,684.6,92,94,76,B,A,85.45,15.3,97.6,111.3,MACHINE,12.2
STNE,StoneCo Cl A,19,5970.7,93,97,96,B,B-,85.45,42.4,41.5,68.1,FINANCE,15.7
NPB,Northpointe Bancshares,16.74,575.3,75,93,92,A,B+,85.4,14.3,20.1,NA,BANKS,12.4
VEEV,Veeva Systems Cl A,293.02,47675.5,79,95,97,A,B-,85.4,0.6,28.7,37.8,SOFTWARE,20.8
AXP,American Express,357.56,246305.6,81,91,93,A,B,85.35000000000001,16,33.8,32.4,FINANCE,33
