#,Symbol,Name,Company Description,Days Vol Short 2 Periods Ago,Days Vol Short 1 Period Ago,Days Vol Short Current,Pr Wk High($),Index % Chg 5 Days,% New Lows in Group,# New Lows in Group,# New Highs in Group,Ind Mkt Val (bil),Short Volume,Ex-Dividend Date,Expected X Dividend Amount,A/D Rating - Pr Wk,IBD Big Cap 20,IBD 85-85 Index,IBD New America,IBD 50,Liab to Assets Lss Ind Median,LT Debt to Working Cap,EV to FCF,Yield %,Current Ratio,Price to CF,Dividend-Adjusted PEG,PEG,P/E Percent Rank,P/E vs S&P 500 P/E (%),Forward P/E,Pre-tax Margins,50 Day ATR %,30 Day ATR %,Avg Sales % Chg 6Q,Avg Sales % Chg 5Q,Avg Sales % Chg 4Q,Sales Growth 5 Yr,Sales Growth 3 Yr,Sales Accel 3 Qtrs,EPS Lst Yr Gtr EPS 4 Yrs Ago,Avg EPS % Chg 6Q,Avg EPS % Chg 3Q,Avg EPS % Chg 4Q,Avg EPS % Chg 5Q,EPS % Growth 5 Yr Pct Rnk,EPS % Growth 5 Yr,EPS % Growth 3 Yr,EPS % Growth 1 Yr,Sustainable Growth %,EPS Accel 3 Qtrs,RS Line New Low,% Chg YTD,Current Price,Industry Name,State,% New Highs in Group,Ind Grp Rnk 6 Mo Ago,3-Yr EPS Growth Geq 5-Yr,Avg True Range,Debt %,Sales Accel 2 Qtrs,Number of Stocks,P/E,Shrt Int % Chg,Shrt Int % of Float,52-Wk Low,52-Wk High,Ind Grp Rnk 3 Mo Ago,Ind Grp Rnk Last Week,Trl 26 Wk % Perf vs S&P 500,EPS Trailing 4 Qtrs,EPS Trl 4Q Gtr EPS 4 Yrs Ago,Earnings Stability,Price % Chg,% Off High,RS Rating,RS 3-Month Rating,Comp Rating,Beta,50-Day Avg $ Vol (1000s),Market Cap (mil),21 Day ATR %,Shares (1000s),Price vs 200-Day,Vol % Chg vs 50-Day,% Chg 1 Month,% Chg 3 Months,Ind Group RS,% Chg 6 Months,SMR Rating,EPS Rating,Ind Group Rank,A/D Rating,EPS Surprise,EPS Est Cur Yr %,EPS Est Next Yr %,Price vs 50-Day,Price vs 10-Day,Price vs 21-Day,P/E Ratio Rank in Grp,Annual Sales (mil),EPS % Chg 1 Yr Ago,Sales % Chg Lst Qtr,EPS % Chg Lst Yr,EPS Lst Rptd,Avg Sales % Chg 2Q,50-Day Avg Vol (1000s),10 Day > 21 Day > 50 Day,Price $ Chg,EPS Est Cur Qtr %,Volume (1000s),IPO Date,ETF/Closed-End Fund,Number of Funds,Incorp Date,ADR,ETF,AT Margin Accel,Price to Sales,Daily Closing Range,RS Line Within 5% of New High,EPS % Chg Last Qtr,Up/Down Vol,EPS % Chg 1 Q Ago,Sales % Chg Lst Yr,Exchange,RS Line New High,RS 6-Month Rating,50-Day > 150-Day > 200-Day,Price to Book,P/E Lss 5-Yr Avg,Weekly Closing Range,Shares in Float (1000s),EPS % Chg 2 Q Ago,EPS % Chg 3 Q Ago,Avg EPS % Chg 2Q,Avg Sales % Chg 3Q,EPS Trl 4Q Geq EPS Lst Fiscal Yr,EPS % Chg Lst Q Gtr 3-Yr Growth,Price vs 150-Day,Funds % Increase,Sector,% Chg Cur Week,City,New CEO 12 Months,Funds %,Enterprise Val (mil),Current day's Volume greater than previous 5 days' Volume,Current day's Volume greater than previous 10 days' Volume,Current day's Volume greater than previous 20 days' Volume,% Chg 12 Months,Vol % Chg vs 10-Week,EPS Due Date,ROE,AT Margin,timestamp,symbol,C_Score,A_Score,N_Score,S_Score,L_Score,I_Score,M_Score,CANSLIM_Score,Momentum_Score,Quality_Score,EPS_Accel,Sales_Accel,Setup_Type
9539,RNG,RingCentral Inc. Cl A,NA,5,4,3.6,77.95,5.8,7,8,1,5719.1,7062139,08/05/2026,0,A+,No,Yes,No,No,No,-3.15,8.1,0.7,0.87,10.98,0.45,0.46,46,228.45,14,2.2,5.76,6,NA,5.1,5.2,12,7,Yes,Yes,17.6,18.5,18.6,18.2,20,34,18,19,0,No,No,154.1,73.39,Comp Sftwr - Enterprise,NA,0.9,126,No,3.46,0,Yes,114,16,-10.2,9.8,24.14,77.95,88,3,60,4.73,Yes,12,-3.89,-5.85,99,98,98,1.79,104550,6060.9,4.44,73736.6,84.2,-41.4,21,66.7,NA,87.4,NA,90,8,A+,4.8,15,11,33.8,4.9,9.1,57,2515.1,15,6,18,NA,5.6,1983,Yes,-2.97,13,1151,NA,No,594,NA,No,No,Yes,2.09,0,Yes,15,2.7,20,5,New York Stock Exchange,No,99,Yes,-10.04,Yes,94,72399.8,20,19,17.5,5.3,Yes,No,68.2,11.4,SOFTWARE,5.8,NA,No,80,7417.2,No,No,No,140.4,-18.5,NA,0,6,2026-09-04,RNG,10,8,7,0,15,10,10,60,118.33333333333333,30,FALSE,FALSE,Momentum Leader
9128,PBF,PBF Energy Inc.,NA,4.5,3.8,3.7,77.94,4.3,0,0,3,442.6,11056469,08/13/2026,0,B,No,No,No,No,Yes,2.31,9.3,1.5,1.33,-113.75,0,0,41,25.69,4,-0.8,6.28,6.45,NA,8.4,14.1,1,-10,Yes,No,67.3,297.6,239.5,173.5,15,-9,-111,109,-2,No,No,174.1,74.34,Oil&Gas-Refining/Mktg,NA,11.1,4,No,4.39,51.1,Yes,27,14,-4.4,10.9,25.62,77.94,15,4,57,5.31,No,0,-1.31,-4.62,99,94,97,0.8,194465,8947.2,5.8,118536.8,67.9,-40,12.8,73.9,NA,65.9,NA,72,1,A,49.9,519,-32,16.3,3.4,4.1,37,29332.3,-134,56,-6,NA,34,3107,Yes,-0.99,1705,1873,NA,No,600,NA,No,No,No,0.26,0,Yes,704,1.7,72,-11,New York Stock Exchange,No,97,Yes,1.38,-,95,101530.5,117,65,387.7,21.7,Yes,Yes,52.9,8.5,ENERGY,4.3,NA,No,58,11333,No,No,No,163.2,3.5,NA,-2.9,7.8,2026-09-04,PBF,35,15,7,0,15,10,10,92,116.66666666666667,20,TRUE,TRUE,Momentum Leader
8603,MPC,Marathon Petroleum Corp.,NA,2.7,3,2.8,398.52,5.4,0,0,3,442.6,6521760,08/18/2026,0,A,Yes,Yes,No,No,No,5.73,8.3,1.1,1.25,14.42,1.33,1.47,43,52.33,8,5.3,3.29,3.37,NA,10.4,15.8,3,-3,Yes,Yes,363.9,743.7,573,457.6,12,10,-24,278,20,No,No,139.1,388.9,Oil&Gas-Refining/Mktg,NA,11.1,4,No,11.26,181.9,Yes,27,15,-5.8,2.3,161.93,398.52,15,4,61,26.46,Yes,71,0.31,-2.42,98,97,99,0.68,736193,108679.2,3.33,280824.8,60.9,-19.2,24.4,45.6,NA,76.2,NA,86,1,A+,24.3,374,-29,20.8,4.2,8.2,32,135222,-60,53,13,NA,31,2363,Yes,1.19,565,1875,NA,No,2322,NA,No,No,No,0.7,0,Yes,348,2.6,1455,-4,New York Stock Exchange,Yes,98,Yes,5.77,-,98,279955.3,429,61,901.3,20.6,Yes,Yes,48.2,6.7,ENERGY,5.4,NA,No,44,139365.3,No,No,No,117.3,9.7,NA,23.1,10,2026-09-04,MPC,35,15,10,0,15,10,10,95,113,35,FALSE,TRUE,Momentum Leader
9445,RCRUY,Recruit Holdings Co. Ltd. ADR,NA,0,0,0,22.81,-6.3,4.2,1,0,176.6,0,03/30/2026,0,A+,No,No,No,No,Yes,0.22,19.5,0.1,2.09,33.58,3.27,3.29,84,154.46,0,17.7,2.32,2.86,NA,5.7,5.8,-1,0,No,Yes,49.2,47.4,40.5,38.7,11,12,23,38,30,Yes,No,84.9,20.87,Comml Svcs-Staffing,NA,0,134,Yes,0.53,9,No,24,40,0,0,7.91,22.81,18,1,120,0.53,Yes,13,-1.7,-8.51,98,94,99,0.24,10360,139898.9,3.23,7362520.5,71.9,-33.4,32.5,57.3,NA,142.6,NA,97,3,A-,0,0,0,18.9,-2.5,0.8,7,24535.8,11,8,24,NA,8.1,604,Yes,-0.36,0,341,NA,No,12,NA,Yes,No,No,6.14,0,No,58,1.4,55,5,US OTC,No,97,Yes,13.3,-,91,0,29,20,56.4,6.7,Yes,Yes,66.3,0,BUSINS SVC,-6.3,NA,No,0,140072.9,No,No,No,81.2,-41.2,NA,31.8,19.4,2026-09-04,RCRUY,20,12,5,0,15,0,10,62,117,60,TRUE,FALSE,Momentum Leader
10408,VLO,Valero Energy Corp.,NA,3.5,3.1,3.2,375.11,5.2,0,0,3,442.6,9649639,07/30/2026,0,A,Yes,Yes,No,No,Yes,1.02,8.2,1.4,1.64,19.66,1.63,1.91,46,60.1,9,2.4,3.6,3.34,NA,7.8,13.1,2,-6,Yes,Yes,241.6,440.3,385.5,305.2,18,8,-27,358,8,No,No,127.7,370.72,Oil&Gas-Refining/Mktg,NA,11.1,4,No,10.87,43.6,Yes,27,15,5.5,3.4,153.2,375.11,15,4,51,24.24,Yes,77,0.01,-1.17,98,96,99,0.64,821466,105407.4,3.17,287927.5,54.7,5.5,20.1,43.2,NA,64.3,NA,85,1,A+,24.1,306,-28,17.7,4.1,7.4,26,122687,-66,49,25,NA,27.9,2741,Yes,0.03,357,2850,NA,No,2740,NA,No,No,Yes,0.77,0,Yes,450,1.7,374,-5,New York Stock Exchange,Yes,98,Yes,4.27,-,99,286779.3,497,221,412.1,18.2,Yes,Yes,42.1,6.7,ENERGY,5.2,NA,No,48,112395.2,No,No,No,138.6,6.4,NA,9.7,8.3,2026-09-04,VLO,32,15,10,0,15,10,10,92,112.66666666666667,25,TRUE,TRUE,Momentum Leader
6868,CXW,CoreCivic Inc.,NA,1.6,2.9,10.8,34.86,2.7,6.5,3,0,127.2,15424304,03/30/2020,0,A,No,Yes,No,No,No,5.06,74.1,0,1.32,19.22,0,0,74,108.09,2,7.1,4.39,4.53,NA,21.4,24.3,4,8,No,Yes,73.9,41.3,37.5,51.2,11,-2,25,37,8,No,No,81.6,34.71,Security/Sfty,NA,0,89,Yes,1.46,93.3,Yes,46,28,277.8,16.1,15.73,34.86,79,29,78,1.25,Yes,31,3.12,-0.43,98,94,98,0.77,43386,3328.8,4.93,98893.5,50.5,-20.7,15.1,50.5,NA,88,NA,88,67,A,7.6,1407,-85,8.8,3.5,4.4,21,2211.2,5,27,74,NA,26.5,1428,Yes,1.05,6188,1038,NA,No,320,NA,No,No,No,1.38,0,Yes,6,1.3,65,13,New York Stock Exchange,Yes,98,Yes,2.39,-,102,95891.1,53,26,35.5,26.4,Yes,No,41.9,-2.1,BUSINS SVC,2.7,NA,Yes,61,4567.5,No,No,No,74.7,10.3,NA,8,5.4,2026-09-04,CXW,7,12,10,0,15,10,10,64,113.66666666666667,20,FALSE,TRUE,Momentum Leader
8203,KRT,Karat Packaging Inc.,NA,2.4,2.1,1.6,50.67,-1.5,0,0,0,133.3,230269,08/20/2026,0,A,No,Yes,No,No,Yes,0.56,13.7,3.7,2.25,28.88,1.02,1.28,58,75.78,26,9.2,3.8,4.02,NA,11.4,11.7,6,7,No,Yes,26.2,60,39.7,35,16,15,4,42,6,No,No,114.4,48.39,Containers/Packaging,NA,0,67,No,1.81,36.8,No,20,19,-24.4,2.7,20.61,50.81,124,59,98,2.53,Yes,17,2.83,-4.76,98,95,98,0.8,6140,944.4,4.13,19931.7,61.6,-30.8,17.8,72.1,NA,100.8,NA,89,84,B,214.9,66,-16,15.5,0,0.3,44,467.7,-10,10,-2,NA,11.4,145,Yes,1.33,14,100,NA,No,208,NA,No,No,No,1.95,0,Yes,160,2.9,3,11,NASDAQ,No,98,Yes,5.79,-,98,8505.5,17,-21,81.3,12.2,Yes,Yes,50.1,12.4,MISC,-1.5,NA,No,43,986.3,No,No,No,88.5,-37.4,NA,20.6,21.5,2026-09-04,KRT,25,15,7,0,15,10,10,82,117,50,TRUE,FALSE,Momentum Leader
8997,OKTA,Okta Inc. Cl A,NA,1.9,1.7,2.1,174.85,2.6,2.6,1,0,782.3,6449812,NA,0,A-,Yes,Yes,No,No,Yes,0.07,23.6,0,1.44,34.6,0.77,0.77,88,402.81,42,8.7,5.68,5.57,NA,11.5,11.2,22,14,No,Yes,19.6,12.2,14.7,17.1,18,60,53,13,4,No,No,97.3,170.6,Computer Sftwr-Security,NA,0,105,No,8.07,1,No,39,46,23.2,3.9,62.66,174.85,6,6,97,3.68,Yes,30,0.11,-2.43,97,97,99,1.56,483677,28522,6.14,167139.8,67.5,-27.4,15.4,38.2,NA,137.8,NA,86,9,A,8.8,12,11,16.9,8.1,12.8,33,2919,76,11,25,NA,10.9,3317,Yes,0.18,14,2342,NA,No,1736,NA,No,No,Yes,9.28,0,Yes,15,1.3,6,12,NASDAQ,No,99,Yes,4.28,-,98,166190.8,15,22,10.6,11.1,Yes,No,60,6.6,SOFTWARE,2.6,NA,No,68,26390,No,No,No,90.1,-3.9,NA,3.5,14.4,2026-09-04,OKTA,15,0,7,0,15,10,10,57,112.66666666666667,35,FALSE,FALSE,Momentum Leader
10281,UGP,Ultrapar Participacoes S/A ADR,NA,0.3,0.7,0.8,7.36,12.9,0,0,3,442.6,2912521,08/25/2026,0,B+,No,No,No,No,Yes,1.98,7.1,4.9,1.64,12.54,0.35,0.41,29,47.02,10,2.7,3.28,3.35,NA,15.8,20.5,4,1,Yes,Yes,54.6,89,70.2,75.7,19,28,13,33,6,No,No,93.1,7.28,Oil&Gas-Refining/Mktg,NA,11.1,4,No,0.21,110,Yes,27,12,21.5,0.3,3.6,7.36,15,4,31,0.67,Yes,24,1.68,-1.07,97,98,99,0.72,22382,7841.5,3.74,1115849.9,38.8,-0.8,15.2,48.3,NA,47.7,NA,95,1,A,17.1,90,-24,17.5,7.3,11.8,58,25483.5,-3,37,-3,NA,29.7,3696,Yes,0.12,131,3624,NA,No,78,NA,Yes,No,No,0.28,0,Yes,66,1.4,245,3,New York Stock Exchange,Yes,96,Yes,2.25,-,100,1070411.3,-44,14,155.3,25.1,Yes,Yes,29.1,13,ENERGY,12.9,NA,No,2,10334.1,No,No,No,100.6,5.3,NA,17.9,3.7,2026-09-04,UGP,27,15,10,0,15,0,10,77,113,35,FALSE,TRUE,Momentum Leader
6127,AYA,Aya Gold & Silver Inc.,NA,18.4,15.3,11.6,30.24,3.4,0,0,0,895.4,7265417,NA,0,A,No,No,No,No,No,0.6,18.8,0,2.02,57.21,0,0,73,147.8,0,35.2,6.77,6.68,NA,0,0,0,0,No,Yes,0,438.9,0,0,21,-,-,-,14,No,No,101.2,28.91,Mining-Gold/Silver/Gems,NA,0,15,No,1.65,20.5,No,89,0,-24.2,5.2,8.59,30.24,138,72,49,0.72,Yes,0,-3.05,-4.4,97,97,98,1.12,17582,4293.4,6.3,144036.2,58,22.4,26.2,48.3,NA,51.6,NA,83,75,A,0,0,0,24.7,3,5.2,73,202.1,-145,0,1637,NA,0,806,Yes,-0.91,0,874,NA,No,236,NA,No,No,No,NA,0,Yes,435,1.4,542,417,NASDAQ,No,97,Yes,8.5,-,97,139859,339,0,488.8,0,Yes,No,48.5,13.5,MINING,3.4,NA,No,50,4270.6,No,No,No,173.4,30.4,NA,13.8,35.7,2026-09-04,AYA,25,15,7,0,15,10,10,82,112.33333333333333,45,FALSE,FALSE,Momentum Leader
