#,Symbol,Name,Company Description,Days Vol Short 2 Periods Ago,Days Vol Short 1 Period Ago,Days Vol Short Current,Pr Wk High($),Index % Chg 5 Days,% New Lows in Group,# New Lows in Group,# New Highs in Group,Ind Mkt Val (bil),Short Volume,Ex-Dividend Date,Expected X Dividend Amount,A/D Rating - Pr Wk,IBD Big Cap 20,IBD 85-85 Index,IBD New America,IBD 50,Liab to Assets Lss Ind Median,LT Debt to Working Cap,EV to FCF,Yield %,Current Ratio,Price to CF,Dividend-Adjusted PEG,PEG,P/E Percent Rank,P/E vs S&P 500 P/E (%),Forward P/E,Pre-tax Margins,50 Day ATR %,30 Day ATR %,Avg Sales % Chg 6Q,Avg Sales % Chg 5Q,Avg Sales % Chg 4Q,Sales Growth 5 Yr,Sales Growth 3 Yr,Sales Accel 3 Qtrs,EPS Lst Yr Gtr EPS 4 Yrs Ago,Avg EPS % Chg 6Q,Avg EPS % Chg 3Q,Avg EPS % Chg 4Q,Avg EPS % Chg 5Q,EPS % Growth 5 Yr Pct Rnk,EPS % Growth 5 Yr,EPS % Growth 3 Yr,EPS % Growth 1 Yr,Sustainable Growth %,EPS Accel 3 Qtrs,RS Line New Low,% Chg YTD,Current Price,Industry Name,State,% New Highs in Group,Ind Grp Rnk 6 Mo Ago,3-Yr EPS Growth Geq 5-Yr,Avg True Range,Debt %,Sales Accel 2 Qtrs,Number of Stocks,P/E,Shrt Int % Chg,Shrt Int % of Float,52-Wk Low,52-Wk High,Ind Grp Rnk 3 Mo Ago,Ind Grp Rnk Last Week,Trl 26 Wk % Perf vs S&P 500,EPS Trailing 4 Qtrs,EPS Trl 4Q Gtr EPS 4 Yrs Ago,Earnings Stability,Price % Chg,% Off High,RS Rating,RS 3-Month Rating,Comp Rating,Beta,50-Day Avg $ Vol (1000s),Market Cap (mil),21 Day ATR %,Shares (1000s),Price vs 200-Day,Vol % Chg vs 50-Day,% Chg 1 Month,% Chg 3 Months,Ind Group RS,% Chg 6 Months,SMR Rating,EPS Rating,Ind Group Rank,A/D Rating,EPS Surprise,EPS Est Cur Yr %,EPS Est Next Yr %,Price vs 50-Day,Price vs 10-Day,Price vs 21-Day,P/E Ratio Rank in Grp,Annual Sales (mil),EPS % Chg 1 Yr Ago,Sales % Chg Lst Qtr,EPS % Chg Lst Yr,EPS Lst Rptd,Avg Sales % Chg 2Q,50-Day Avg Vol (1000s),10 Day > 21 Day > 50 Day,Price $ Chg,EPS Est Cur Qtr %,Volume (1000s),IPO Date,ETF/Closed-End Fund,Number of Funds,Incorp Date,ADR,ETF,AT Margin Accel,Price to Sales,Daily Closing Range,RS Line Within 5% of New High,EPS % Chg Last Qtr,Up/Down Vol,EPS % Chg 1 Q Ago,Sales % Chg Lst Yr,Exchange,RS Line New High,RS 6-Month Rating,50-Day > 150-Day > 200-Day,Price to Book,P/E Lss 5-Yr Avg,Weekly Closing Range,Shares in Float (1000s),EPS % Chg 2 Q Ago,EPS % Chg 3 Q Ago,Avg EPS % Chg 2Q,Avg Sales % Chg 3Q,EPS Trl 4Q Geq EPS Lst Fiscal Yr,EPS % Chg Lst Q Gtr 3-Yr Growth,Price vs 150-Day,Funds % Increase,Sector,% Chg Cur Week,City,New CEO 12 Months,Funds %,Enterprise Val (mil),Current day's Volume greater than previous 5 days' Volume,Current day's Volume greater than previous 10 days' Volume,Current day's Volume greater than previous 20 days' Volume,% Chg 12 Months,Vol % Chg vs 10-Week,EPS Due Date,ROE,AT Margin,timestamp,symbol,C_Score,A_Score,N_Score,S_Score,L_Score,I_Score,M_Score,CANSLIM_Score,Momentum_Score,Quality_Score,EPS_Accel,Sales_Accel,Setup_Type,List,Sector_RS3M,Theme_Strength
6938,DELL,Dell Technologies Inc. Cl C,NA,1.4,1.9,2.3,567.75,8.2,0,0,2,3499.7,14444059,10/19/2026,0.63,C,Yes,Yes,No,No,No,-3.88,33.6,0.5,0.96,34.69,3.64,3.86,79,130.28,20,6.4,7.33,6.87,NA,43,48.9,3,15,No,Yes,87.9,154,120.7,101.1,7,8,30,114,0,No,No,350.7,567.29,Computer-Hardware/Perip,NA,5.3,3,Yes,31.11,0,No,38,31,18.9,4.9,110.22,567.75,2,6,224,18.38,Yes,23,11.98,-0.08,99,99,99,1.52,3238143,322115.5,6.25,315433.2,116.7,106.9,28.6,44.9,A+,284.9,NA,99,7,B,43.3,151,19,26.4,13.2,18.2,38,113538,14,58,27,NA,72.6,7282,Yes,60.67,153,14469,NA,No,3009,NA,No,No,Yes,1.18,99,Yes,203,1.3,214,19,New York Stock Exchange,Yes,99,Yes,-254.43,-,99,292117.8,45,20,208.5,61.6,Yes,Yes,84.6,12.9,COMPUTER,8.2,NA,No,41,342639.3,No,No,No,352.5,-8.1,NA,0,8.8,2026-09-11,DELL,35,15,10,7,15,10,10,102,114,30,TRUE,FALSE,Breakout,CANSLIM Growth,54,Improving
9129,PAYS,Paysign Inc.,NA,2.7,2.3,2.3,13.7,-3.3,0,0,0,1792.1,1609321,NA,0,A+,No,Yes,No,No,No,0.19,5,0,1.14,14.8,0.79,0.79,89,204.46,36,12.2,5.73,5.88,NA,43.9,46.5,31,33,No,Yes,177.2,176.7,140.8,132.7,12,63,48,107,19,Yes,No,152.6,13.01,Finance-CrdtCard/PmtPr,NA,0,127,No,0.7,10.9,No,42,50,-0.4,3.8,3.08,14.43,121,29,263,0.26,Yes,45,-2.47,-9.84,99,95,99,1.33,7680,735.7,5.1,56462.2,91.8,14.7,3,94.5,A-,258.4,NA,98,36,A-,83.3,165,22,17.7,0.9,-1.6,8,82,-42,48,86,NA,49.4,675,No,-0.33,125,774,NA,No,176,NA,No,No,No,7.3,14,No,450,2.1,80,40,NASDAQ,No,98,Yes,12.21,-,35,42640.1,0,33,265,48.2,Yes,Yes,75.6,18.1,FINANCE,-3.3,NA,No,36,576.7,No,No,No,144.5,6,NA,19.1,23.9,2026-09-11,PAYS,32,15,5,0,15,10,10,87,117.66666666666667,50,TRUE,FALSE,CANSLIM Growth,CANSLIM Growth,28.2,Weak
6555,CDNA,CareDx Inc.,NA,6,5.2,5,51.69,-1.2,1.7,1,0,231.7,5828536,NA,0,A+,No,No,No,No,Yes,0.08,13.8,0,4.58,63.72,4.17,4.17,91,95.45,45,-5.6,5.65,5.49,NA,26.2,34.3,7,15,Yes,Yes,41.1,172.7,159.9,41.2,46,14,72,-147,-6,Yes,No,166.8,50.26,Medical-Services,NA,0,92,No,2.53,6.5,Yes,58,58,-3.3,12.4,13.23,53.67,66,10,190,0.86,Yes,0,0.48,-6.36,99,97,98,1.59,50123,2587.7,4.75,51734.2,95.2,-44.5,6.4,112.4,A,193.1,NA,64,14,A-,59.4,108,10,18.5,0.6,2.6,15,379.8,126,52,-38,NA,45.6,1174,Yes,0.24,739,663,NA,No,380,NA,No,No,No,5.68,54,Yes,331,1.4,279,14,NASDAQ,No,99,Yes,6.08,-,53,47060.6,-92,121,305.1,38.8,Yes,Yes,80.5,3.8,MEDICAL,-1.2,NA,No,70,2436.7,No,No,No,271.5,-21.8,NA,-6.3,83.8,2026-09-11,CDNA,35,15,7,0,15,10,10,92,118,35,TRUE,TRUE,Pullback to 10SMA,CANSLIM Growth,50.4,Improving
9135,PBF,PBF Energy Inc.,NA,3.8,3.7,3.7,82.61,5.3,0,0,8,454.6,11460215,08/13/2026,0,A,No,No,No,No,Yes,2.31,9.3,1.5,1.33,-119.81,0,0,45,28.36,4,-0.8,6.06,6.13,NA,8.4,14.1,1,-10,Yes,No,67.3,297.6,239.5,173.5,15,-9,-111,109,-2,No,No,188.7,78.3,Oil&Gas-Refining/Mktg,NA,29.6,7,No,4.26,51.1,Yes,27,15,2,11.3,25.62,82.61,27,1,66,5.31,No,0,1.58,-5.22,99,99,97,0.79,195229,9069.3,5.36,118536.8,73.6,-6,12.9,90.4,A+,86.5,NA,72,1,A,49.9,546,-32,17.9,4,6.7,37,29332.3,-134,56,-6,NA,34,2991,Yes,1.22,1801,2964,NA,No,613,NA,No,No,No,0.27,21,Yes,704,1.5,72,-11,New York Stock Exchange,Yes,99,Yes,1.45,-,40,101663.3,117,65,387.7,21.7,Yes,Yes,57.3,10.3,ENERGY,5.3,NA,No,60,11455.1,No,No,No,173.3,-24.6,NA,-2.9,7.8,2026-09-11,PBF,35,15,10,0,15,10,10,95,118.33333333333333,20,TRUE,TRUE,Momentum Leader,CANSLIM Growth,60.3,Strong
7231,ETON,Eton Pharmaceuticals Inc.,NA,2.8,2.8,2.3,62.91,-2.3,3.3,18,1,465.6,1347971,NA,0,B-,No,No,No,Yes,No,1.09,80.7,0,1.52,145.94,0,0,95,614.25,32,-5.7,6.27,6.67,NA,89.6,84.8,47,55,No,No,189.7,373.8,305.4,247.6,93,-,-,-,-18,No,No,237.6,57.08,Medical - Development Biotech,NA,0.2,40,No,3.44,85,Yes,548,87,-17.6,5,14.27,66.37,72,12,191,0.58,Yes,0,-1.38,-14,99,90,96,0.76,28957,1654.4,7.17,28583.1,96.1,-43.5,35.7,77.8,A,215.5,NA,82,28,C,84.4,839,93,15.3,-3.9,-4.6,-,80,-275,99,2,NA,69.5,581,No,-0.8,681,324,NA,No,162,NA,No,No,No,15.45,18,No,450,1.5,333,105,NASDAQ,No,96,Yes,34.66,-,22,27181.2,338,100,391.7,73.9,Yes,No,70.4,28.6,MEDICAL,-2.3,NA,No,39,1686.7,No,No,No,224.9,-52.9,NA,-18.2,30.8,2026-09-11,ETON,35,15,5,0,15,10,10,90,115,20,TRUE,TRUE,Earnings Accelerator,CANSLIM Growth,50.4,Improving
8289,LFST,LifeStance Health Group Inc.,NA,2.9,2.9,3.4,14.14,1.9,0,0,1,132.2,13620445,NA,0,C+,No,No,No,No,No,3.21,25.3,0,1.38,34.71,0,0,96,401.26,58,0.9,4.12,4.25,NA,18.3,20.3,22,17,Yes,Yes,322.1,538.8,435.2,364.8,5,-,84,329,1,No,No,84.2,12.97,Medical-Hospitals,NA,10,33,No,0.5,27.3,Yes,10,113,17.4,5.6,4.77,14.14,136,111,92,0.11,Yes,0,-0.23,-8.31,99,97,95,1.35,46095,4821.5,3.68,382055.6,55,53.4,12.8,50.6,B,95.3,NA,83,68,C,83.2,703,37,11.4,2,3.4,-,1424.3,71,26,113,NA,23.6,3957,Yes,-0.03,652,7056,NA,No,442,NA,No,No,Yes,3.13,2,Yes,700,1.3,716,14,NASDAQ,Yes,98,Yes,3.35,-,33,242946,200,124,708.2,21.6,Yes,Yes,46.9,16.6,MEDICAL,1.9,NA,No,69,5047.4,No,No,No,142.9,48.6,NA,0.7,5.4,2026-09-11,LFST,32,15,10,7,15,10,10,99,117,30,TRUE,TRUE,Pullback to 10SMA,CANSLIM Growth,50.4,Improving
7434,FRD,Friedman Industries Inc.,NA,1.4,1.4,1.5,46.49,-5.1,0,0,0,130.1,132868,07/16/2026,0,C-,No,No,No,No,Yes,0.56,-44.5,0.3,2.9,35.31,0,0,32,46.65,0,4.1,6.66,6.04,NA,53.1,61.9,19,8,No,Yes,217.6,176.9,207.2,264.5,19,-,-10,259,13,No,No,111.2,43.28,Metal Products - Distributors/Fabrication,NA,0,42,No,2.5,66.1,Yes,29,12,5.6,2,16.55,48.77,12,81,148,3.63,Yes,0,-2.74,-11.26,99,88,93,0.63,3431,321,5.15,7212.8,68.2,-38.4,1,64.1,C+,148.2,NA,82,82,D,0,0,0,10,-2.6,-2.3,86,646.9,-96,78,2017,NA,63.2,88,Yes,-1.22,0,55,NA,No,130,NA,No,No,Yes,0.42,14,No,202,1.4,78,46,NASDAQ,No,95,Yes,1.9,-,14,6729.9,251,298,139.9,68.3,Yes,Yes,56.5,5.7,METALS,-5.1,NA,No,42,419.1,No,No,No,102.4,-38.7,NA,13.5,5.2,2026-09-11,FRD,35,15,5,0,15,10,10,90,110.33333333333333,35,TRUE,TRUE,Momentum Leader,CANSLIM Growth,46.8,Improving
8002,IOVA,Iovance Biotherapeutics Inc.,NA,6.7,6.2,5.1,8.91,-2.2,3.6,2,1,281.1,88138991,NA,0,A,No,No,No,No,Yes,0.14,-5.5,0,4.34,-10.16,0,0,24,0,0,-149.2,8.67,8.68,NA,47.2,35.8,81,98,Yes,Yes,28.8,48.2,38.8,31.7,40,14,29,24,-55,Yes,No,215,8.6,Medical - Revenue Biotech,NA,1.8,82,No,0.56,6.4,Yes,55,0,-17.7,22.4,1.76,9.36,128,14,86,-0.73,Yes,0,5.65,-8.12,99,99,91,1.49,101216,3818.5,6.77,452971.4,112.2,-27.8,32.5,117.2,A,77.7,NA,60,13,A-,17.6,56,49,37.7,1.8,6.1,24,263.5,32,66,15,NA,55.2,16844,Yes,0.46,62,12389,NA,No,312,NA,No,No,No,11.99,85,Yes,67,1.5,47,61,NASDAQ,No,99,Yes,5.29,-,64,393425.2,31,11,56.9,42.7,Yes,Yes,88.2,4.3,MEDICAL,-2.2,NA,No,43,3571,No,No,No,255.4,-47,NA,-55.5,-47.6,2026-09-11,IOVA,30,12,7,0,15,10,10,84,116.33333333333333,35,TRUE,TRUE,Pullback to 10SMA,CANSLIM Growth,50.4,Improving
9017,OMER,Omeros Corp.,NA,8,6.8,6.2,19.55,-3.5,3.3,18,1,465.6,12758406,NA,0,A,No,No,No,No,No,3.55,-13.5,0,1.95,-9.48,0,0,43,51.82,8,308.8,6.11,5.72,NA,0,0,-47,109,No,No,117.2,207.8,159.8,139,109,-25,-24,208,0,No,No,6.4,18.28,Medical - Development Biotech,NA,0.2,40,No,0.91,0,No,548,14,-8.2,18.4,3.94,19.65,72,12,49,1.28,No,0,-1.67,-6.97,99,93,91,1.55,26686,1403.6,6.01,72388.3,48,-44.6,34.4,79.6,A,53.2,NA,63,28,A-,155.9,1880,12,28.2,-3,-1.5,25,0,-44,0,98,NA,0,1819,Yes,-0.31,105,1014,NA,No,189,NA,No,No,No,34.44,0,No,135,1.7,207,0,NASDAQ,No,94,Yes,-25.66,-,0,69286,281,16,170.9,0,Yes,Yes,46.1,15.2,MEDICAL,-3.5,NA,No,24,1638.8,No,No,No,335.2,-48.1,NA,0,23.3,2026-09-11,OMER,25,15,5,0,15,10,10,80,114.33333333333333,30,FALSE,FALSE,Momentum Leader,CANSLIM Growth,50.4,Improving
8960,OABI,OmniAb Inc.,NA,10.8,10.3,4.8,5.43,-6,3.3,18,1,465.6,5983139,NA,0,A,No,No,No,No,No,0.31,-15.6,0,4.8,-12.69,0,0,86,0,0,-355.2,8.09,9.15,NA,74.8,105.7,0,-17,No,No,24.6,46.6,38.1,27.4,215,-,-23,19,-23,Yes,No,120,4.07,Medical - Development Biotech,NA,0.2,40,No,0.32,6.2,No,548,0,-53,5.1,1.3,5.43,72,12,100,-0.36,No,0,3.04,-25.05,99,92,85,0.77,5419,583.7,8.42,145390.4,84.1,-7.4,20.4,73.9,A,108.2,NA,58,28,B,58.3,37,23,30.4,-6.8,-4.9,86,18.7,-20,244,7,NA,245.8,1413,Yes,0.12,9,1316,NA,No,185,NA,No,No,Yes,15.39,82,No,67,2.3,65,-29,NASDAQ,No,97,Yes,2.27,-,41,118512.8,8,12,65.7,156.4,Yes,Yes,76.2,3.9,MEDICAL,-6,NA,No,33,550.1,No,No,No,154.4,-24,NA,-23.4,-43.7,2026-09-11,OABI,30,12,5,0,15,10,10,82,112,25,TRUE,TRUE,Momentum Leader,CANSLIM Growth,50.4,Improving
