Symbol,Name,Current Price,Market Cap (mil),RS Rating,Comp Rating,EPS Rating,SMR Rating,A/D Rating,Quality Score,% Chg 3 Months,% Chg 6 Months,% Chg 12 Months,Sector,ROE
DELL,Dell Technologies Inc. Cl C,568.06,374112.3,99,99,99,NA,NA,74.3,38.7,280.7,330,COMPUTER,0
ECO,Okeanis Eco Tankers Corp.,84.95,3309.5,99,99,99,NA,NA,74.3,61.9,79,181.4,TRANSPORTATION,25
PAYS,Paysign Inc.,12.34,701.3,99,99,98,NA,NA,74.1,66.8,283.2,108.8,FINANCE,19.1
RCRUY,Recruit Holdings Co. Ltd. ADR,22.08,152063.4,98,99,97,NA,NA,73.65,59.1,168.7,99.1,BUSINS SVC,31.8
HBB,Hamilton Beach Brands Holding Co. Cl A,31.64,418.3,98,98,98,NA,NA,73.6,54.9,95.2,107.1,CONSUMER,15.2
LPG,Dorian LPG Ltd.,58.15,2494.7,97,99,98,NA,NA,73.6,47,77.3,80.1,TRANSPORTATION,17.7
BWLP,BW LPG Ltd.,25.66,3921.9,97,99,97,NA,NA,73.4,41.8,68.4,63.9,TRANSPORTATION,13.3
AMD,Advanced Micro Devices Inc.,559.82,889845.9,95,99,98,NA,NA,73.1,4.2,180.7,254.5,CHIPS,7.1
DHT,DHT Holdings Inc.,23.27,3679.4,95,99,98,NA,NA,73.1,23.2,33,81.8,TRANSPORTATION,19.4
UGP,Ultrapar Participacoes S/A ADR,7.58,8226.1,97,99,95,NA,NA,73,57.9,51.3,90.5,ENERGY,17.9
RDVT,Red Violet Inc.,75.94,1237.5,95,99,97,NA,NA,72.9,37.8,91.8,48.8,BUSINS SVC,14
CRWD,CrowdStrike Holdings Inc. Cl A,237.65,251580.8,97,99,94,NA,NA,72.8,38.8,118.1,89.1,SOFTWARE,-4.2
HALO,Halozyme Therapeutics Inc.,112.45,12448.5,97,99,94,NA,NA,72.8,64,76.7,46.6,MEDICAL,153.6
SHIP,Seanergy Maritime Holdings Corp.,18.59,407.6,95,97,99,NA,NA,72.8,27.1,44.8,104.3,TRANSPORTATION,7.7
TWLO,Twilio Inc. Cl A,243.84,37816.4,97,99,94,NA,NA,72.8,31,92.7,125,SOFTWARE,0.4
FTNT,Fortinet Inc.,169.84,126624.3,95,99,96,NA,NA,72.7,17.3,103.7,109.7,SOFTWARE,135.7
NET,Cloudflare Inc. Cl A,323.6,118909.3,95,99,96,NA,NA,72.7,44.4,43.5,44.7,SOFTWARE,-8.2
HPE,Hewlett Packard Enterprise Co.,60.76,81028.4,97,98,94,NA,NA,72.55,28.2,182.2,140.7,BUSINS SVC,0.2
TEAM,Atlassian Corp. Cl A,192.02,48736.8,92,99,99,NA,NA,72.55,132.1,161.4,13.2,SOFTWARE,-4.5
WT,WisdomTree Inc.,23.07,3369.6,95,96,99,NA,NA,72.55,26,61.8,59.4,FINANCE,26.6
SMTC,Semtech Corp.,185,16629.7,95,99,95,NA,NA,72.5,16.9,152.1,202.5,CHIPS,-7.4
OOMA,Ooma Inc.,22.73,616.9,96,96,97,NA,NA,72.4,32.9,63.4,73.8,TELECOM,7.2
GCT,GigaCloud Technology Inc.,52.86,1898,94,99,95,NA,NA,72.25,55.6,24.1,81.5,BUSINS SVC,30.8
ILMN,Illumina Inc.,239.62,37022.2,98,99,90,NA,NA,72.25,48,94.9,132.6,MEDICAL,33.4
NTAP,NetApp Inc.,197.79,38678.8,95,99,93,NA,NA,72.1,23.8,96.3,56.5,COMPUTER,106.7
KRT,Karat Packaging Inc.,49.87,1004.2,98,99,89,NA,NA,72.05,64.9,79.7,104.4,MISC,20.6
RNG,RingCentral Inc. Cl A,71.86,6244.6,99,98,89,NA,NA,72.05,105.2,93.8,125.5,SOFTWARE,0
FROG,JFrog Ltd.,92.81,11587.9,94,98,95,NA,NA,72,12.2,111.6,85.6,SOFTWARE,-8.6
SNOW,Snowflake Inc.,332.43,119384,95,96,96,NA,NA,71.95,43.1,91.9,49.7,SOFTWARE,-54.1
INCY,Incyte Corp.,125.31,25868.3,91,99,97,NA,NA,71.9,27.6,35.9,45.7,MEDICAL,29.9
FRO,Frontline PLC,51.42,12028.3,97,99,89,NA,NA,71.8,25.6,59.9,115.4,TRANSPORTATION,15.6
VCTR,Victory Capital Holdings Inc. Cl A,106.56,6410.5,94,97,95,NA,NA,71.75,22.5,59,55.1,FINANCE,18.6
ANET,Arista Networks Inc.,199.39,251652.1,92,98,96,NA,NA,71.7,17.5,46.5,36,COMPUTER,31.4
MPC,Marathon Petroleum Corp.,424.89,118496.8,99,99,86,NA,NA,71.7,74.9,79.9,129.6,ENERGY,23.1
P,Everpure Inc.,104.14,34652.3,93,97,96,NA,NA,71.7,39.6,61.7,19.6,COMPUTER,13.7
AAMI,Acadian Asset Management Inc.,90.74,3213.3,93,96,97,NA,NA,71.65,20.7,80.7,81.5,FINANCE,198.5
ASX,ASE Technology Holding Co. Ltd. ADR,41.63,84690.5,95,96,94,NA,NA,71.55,2.6,92.2,262.9,CHIPS,12.5
ERO,Ero Copper Corp.,34.17,3472.9,90,97,99,NA,NA,71.55,14.9,37.1,103.5,MINING,34.6
VLO,Valero Energy Corp.,413.28,118778.7,99,99,85,NA,NA,71.5,74.9,73.3,152.2,ENERGY,9.7
OKTA,Okta Inc. Cl A,182.37,33219.4,98,99,86,NA,NA,71.45,54.8,132.5,94.8,SOFTWARE,3.5
SSRM,SSR Mining Inc.,36.33,7370.3,91,97,97,NA,NA,71.4,17.4,40.9,66.7,MINING,12
TEN,Tsakos Energy Navigation Ltd.,52.09,1555.2,97,99,87,NA,NA,71.4,36,45.6,124.5,TRANSPORTATION,9
FSM,Fortuna Mining Corp.,11.95,3538,88,98,99,NA,NA,71.3,29,24,50.5,MINING,17.2
SN,SharkNinja Inc.,165.75,23407.2,93,97,94,NA,NA,71.3,17.7,61.5,41.7,CONSUMER,30.4
TENB,Tenable Holdings Ltd.,35.43,3971.6,91,98,95,NA,NA,71.25,31.9,74.2,16.6,SOFTWARE,-9.9
NHC,National Healthcare Corp.,222.11,3521.3,93,95,96,NA,NA,71.2,10.2,40.8,86.5,MEDICAL,11.7
INSW,International Seaways Inc.,111.15,5474.7,97,98,87,NA,NA,71.15,31.6,60.3,127.7,TRANSPORTATION,16
UVE,Universal Insurance Holdings Inc.,44.16,1235.7,91,96,97,NA,NA,71.15,15.9,32.5,71.8,INSURANCE,39.6
ATEYY,Advantest Corp. ADR,203.8,135442.7,90,95,99,NA,NA,71.05,4.5,36.5,98.4,CHIPS,59.4
TRV,Travelers Cos. Inc.,374.62,79152.1,88,97,99,NA,NA,71.05,21.7,25.2,34.8,INSURANCE,20.7
NAT,Nordic American Tankers Ltd.,8.25,1725.8,98,98,85,NA,NA,71,41,52.2,150,TRANSPORTATION,2.6
FMAO,Farmers & Merchants Bancorp Inc.,35.53,491.3,92,99,91,NA,NA,70.95,23.2,46.4,34,BANKS,9.3
NMM,Navios Maritime Partners L.P.,92.96,2652.3,96,99,86,NA,NA,70.95,32.5,37.9,89.1,TRANSPORTATION,8.8
TNK,Teekay Tankers Ltd.,100.92,3496.4,96,99,86,NA,NA,70.95,35.6,53,84.4,TRANSPORTATION,18.5
DXCM,DexCom Inc.,89.35,33181.3,89,97,97,NA,NA,70.9,23.3,32.1,17.9,MEDICAL,34.5
LITE,Lumentum Holdings Inc.,930.91,80156.8,91,93,99,NA,NA,70.8,9.5,32.8,442.8,TELECOM,-240
WPM,Wheaton Precious Metals Corp.,151.01,69173.6,86,98,99,NA,NA,70.8,23.2,17.3,44.1,MINING,18.5
EGO,Eldorado Gold Corp.,43.22,11070.1,90,97,95,NA,NA,70.75,30.8,24.9,60.1,MINING,12.7
EXEL,Exelixis Inc.,58.36,14492.8,88,99,95,NA,NA,70.75,12.4,41.4,44.3,MEDICAL,35.5
QLYS,Qualys Inc.,174.96,6160.7,92,99,90,NA,NA,70.75,57.2,81,28.9,SOFTWARE,38.2
SBLK,Star Bulk Carriers Corp.,32.48,3555.5,94,99,87,NA,NA,70.65,25.8,42.5,63.7,TRANSPORTATION,3.4
CXW,CoreCivic Inc.,35.23,3514.7,96,96,88,NA,NA,70.6,21.9,74.2,68.3,BUSINS SVC,8
MSADY,MS&AD Insurance Group Holdings Inc. ADR,33.13,49642.3,89,99,93,NA,NA,70.6,16.2,27.7,42.9,INSURANCE,10.1
QRVO,Qorvo Inc.,117.18,10543.4,90,98,93,NA,NA,70.6,19.1,51.9,30.2,CHIPS,10.1
NEM,Newmont Corp.,123.41,131068.8,86,97,99,NA,NA,70.55,18.9,15.8,57.6,MINING,22.2
PANW,Palo Alto Networks Inc.,363.58,306799.1,97,98,84,NA,NA,70.55,26.3,115.3,76.8,SOFTWARE,1.7
TRGP,Targa Resources Corp.,292.19,61127.9,89,94,99,NA,NA,70.55,13,24.9,71.8,ENERGY,65.1
DINO,HF Sinclair Corp.,115.9,20733.2,99,99,80,NA,NA,70.5,79.7,93.4,118.2,ENERGY,6.2
MEDP,Medpace Holdings Inc.,612.33,17170.7,87,99,95,NA,NA,70.5,33.1,34.6,22,MEDICAL,70.2
NVGS,Navigator Holdings Ltd.,25,1541,88,98,95,NA,NA,70.5,15.2,32.9,48.4,TRANSPORTATION,8.2
PNTG,Pennant Group Inc.,39.62,1398.2,88,98,95,NA,NA,70.5,18.5,19.1,60,MEDICAL,9.5
CHEF,Chefs' Warehouse Inc.,110.85,4494.1,95,90,96,NA,NA,70.45,16.2,82.2,66.2,FOOD/BEV,12.7
IMAX,Imax Corp.,52.77,2842.5,92,93,96,NA,NA,70.45,19,40.9,63.3,LEISURE,10.9
REPYY,Repsol S.A. ADR,33.94,36873.6,95,94,91,NA,NA,70.45,37.5,20.7,95.7,ENERGY,8.1
THC,Tenet Healthcare Corp.,261.99,21087.9,89,96,96,NA,NA,70.45,51.8,28.9,37.7,MEDICAL,33.5
GCBC,Greene County Bancorp Inc.,35.66,605.9,94,98,87,NA,NA,70.4,21.2,64,44.2,BANKS,15.9
