"Industry_Name","Sector","Num_Stocks","Avg_RS_Rating","Avg_YTD_Return"
"Mining-Gold/Silver/Gems","MINING","77","90.2","127.1"
"Banks-Money Center","BANKS","26","81.8","46.2"
"Telecom-Fiber Optics","TELECOM","8","79.2","60.3"
"Retail/Whlsle-Jewelry","RETAIL","7","78.6","10.3"
"Retail-Department Stores","RETAIL","6","78.2","17.1"
"Medical-Diversified","MEDICAL","8","77.1","23.1"
"Mining-Metal Ores","MINING","52","74.4","71.6"
"Utility-Electric Power","UTILITY","33","74.2","29.7"
"Elec-Semiconductor Equip","CHIPS","31","73.7","25.8"
"Bldg-Heavy Construction","BUILDING","25","73.4","41.0"
"Oil&amp;Gas-Drilling","ENERGY","9","73.2","-7.3"
"Banks-Foreign","BANKS","38","72.8","39.9"
"Computer-Data Storage","COMPUTER","10","72.8","70.0"
"Energy-Coal","ENERGY","13","71.5","41.3"
"Steel-Producers","METALS","18","68.2","10.4"
