"Symbol","Name","Sector","RS_Rating","Comp_Rating","Market_Cap_.mil.","X._Chg_YTD","ROE"
"SNDK","Sandisk","COMPUTER","99","85","29350.2","NA","4.3"
"BE","Bloom Energy","ENERGY","99","98","21057.4","305.18","12.1"
"SATS","EchoStar","TELECOM","99","66","19745.9","199.69","-0.6"
"LITE","Lumentum Holdings","TELECOM","99","99","18121.3","204.46","14.0"
"WBD","Warner Bros. Discovery A","MEDIA","98","71","57414.7","119.21","-28.5"
"WDC","Western Digital","COMPUTER","98","99","47588.9","208.91","22.5"
"INSM","Insmed","MEDICAL","98","75","42390.1","187.89","NA"
"CLS","Celestica","ELECTRNCS","98","99","32217.0","203.42","25.1"
"CIEN","Ciena","TELECOM","98","98","25144.5","110.19","9.4"
"W","Wayfair Cl A","RETAIL","98","95","13690.7","137.00","NA"
"GH","Guardant Health","MEDICAL","98","92","13582.2","245.07","-2596.9"
"MU","Micron Technology","COMPUTER","97","99","232765.8","146.40","19.1"
"ATEYY","Advantest ADR","CHIPS","97","NA","91929.3","110.92","34.1"
"STX","Seagate Technology","COMPUTER","97","94","50577.5","175.16","NA"
"AU","AngloGold Ashanti","MINING","97","99","40232.0","245.80","19.4"
