"Sector","Num_Stocks","Avg_RS_Rating","Avg_YTD_Return","Avg_3Mo_Return","Median_Market_Cap","Top_Performers"
"CHIPS","49","90.4","141.6","104.0","5780","39"
"COMPUTER","13","75.8","51.4","57.7","3720","3"
"ELECTRNCS","29","75.0","69.0","51.3","4144","17"
"METALS","18","66.6","34.6","31.8","712","6"
"BANKS","123","65.1","12.3","12.6","2529","1"
"TRANSPORTATION","36","64.5","22.4","18.8","3483","7"
"","1","60.0","51.5","-16.2","11875","0"
"CHEMICAL","28","59.2","23.4","8.4","3008","1"
"TELECOM","40","55.3","35.7","10.9","4025","8"
"ENERGY","80","54.5","33.1","4.3","2206","9"
"BUILDING","53","51.8","24.9","22.1","6619","6"
"LEISURE","66","51.7","5.8","11.9","2250","5"
"REAL EST","80","50.2","6.2","8.6","2427","2"
"MACHINE","60","49.6","19.8","19.4","2623","4"
"MINING","57","48.0","5.5","-11.3","1192","3"
"ALCOHL/TOB/THC","14","47.8","3.7","4.8","980","0"
"MEDIA","18","47.7","3.8","4.0","2342","0"
"UTILITY","22","47.2","4.7","-1.5","16912","0"
"AEROSPACE/DEFENSE","40","46.6","9.6","0.8","4716","6"
"MEDICAL","333","45.9","4.9","2.7","915","32"
"CONSUMER","66","45.5","3.0","10.7","584","5"
"AUTO","34","44.4","3.6","11.1","2335","1"
"INSURANCE","49","43.9","-5.5","4.0","6998","1"
"FOOD/BEV","31","43.6","8.1","9.5","3018","3"
"BUSINS SVC","81","43.3","8.9","22.6","1581","10"
"RETAIL","96","41.8","0.5","8.7","1796","3"
"INTERNET","27","41.0","-1.7","2.9","1685","2"
"FINANCE","123","39.7","-4.0","9.1","1788","7"
"MISC","22","38.2","-4.1","-0.9","13566","0"
"ETF/ETN/CEF","159","37.8","3.5","4.1","336","13"
"AGRICULTURE","12","36.8","-11.0","-23.2","271","0"
"SOFTWARE","85","30.5","-6.6","12.8","1407","7"
