"Symbol","Name","Sector","RS_Rating","X._Chg_YTD","X._Chg_12_Months","Market_Cap_.mil.","Current_Price"
"SNDK","Sandisk Corp.","COMPUTER","99","470.7","3163.1","208966.5","1354.82"
"ROMA","Roma Green Finance Ltd. Cl A","BUSINS SVC","99","449.1","173.7","507.7","9.28"
"QTTB","Q32 Bio Inc.","MEDICAL","99","353.3","548.7","360.2","15.05"
"RXT","Rackspace Technology Inc.","SOFTWARE","99","327.4","173.0","1069.0","4.15"
"SLS","SELLAS Life Sciences Group Inc.","MEDICAL","99","249.9","594.2","2185.9","13.19"
"PENG","Penguin Solutions Inc.","COMPUTER","99","208.8","142.8","3380.5","60.41"
"SYRE","Spyre Therapeutics Inc.","MEDICAL","99","206.0","493.4","8173.5","100.23"
"SILC","Silicom Ltd.","COMPUTER","99","199.7","181.0","228.6","44.06"
"RLYB","Rallybio Corp.","MEDICAL","99","199.2","351.4","84.6","16.42"
"SIMO","Silicon Motion Technology Corp. ADR","COMPUTER","99","185.1","261.3","9143.8","264.32"
"UMC","United Microelectronics Corp. ADR","CHIPS","99","170.4","182.2","62341.4","21.25"
"VPG","Vishay Precision Group Inc.","ELECTRNCS","99","169.8","274.4","1338.9","103.89"
"TXG","10x Genomics Inc.","MEDICAL","99","168.2","251.3","5647.0","43.74"
"VSTS","Vestis Corp.","BUSINS SVC","99","147.4","161.9","2169.2","16.50"
"STHH","STMicroelectronics NV ADRhedged","ETF/ETN/CEF","99","144.8","97.7","0.0","12.60"
"WYY","WidePoint Corp.","BUSINS SVC","99","117.1","262.1","120.8","11.66"
"PHOE","Phoenix Asia Holdings Ltd.","BUILDING","99","95.8","185.8","534.6","31.32"
"PSNL","Personalis Inc.","MEDICAL","99","93.3","137.5","1631.6","15.39"
"VNCE","Vince Holding Corp.","CONSUMER","99","57.8","341.1","82.0","6.44"
"SIF","SIFCO Industries Inc.","AEROSPACE/DEFENSE","98","303.2","358.2","138.3","22.50"
