"Symbol","Name","Sector","X._Chg_1_Month","X._Chg_3_Months","X._Chg_6_Months","RS_Rating","Market_Cap_.mil."
"MAGH","Magnitude International Ltd.","BUILDING","382.9","550.0","0.0","0","236.6"
"MAMK","MaxsMaking Inc.","CONSUMER","361.0","455.6","0.0","0","216.1"
"AGL","agilon health inc.","BUSINS SVC","-14.5","227.8","340.3","99","1614.2"
"AIBZ","Bitzero Holdings Inc.","FINANCE","-6.1","162.0","78.3","93","345.0"
"PCLA","PicoCELA Inc. ADR","COMPUTER","4.9","155.7","-22.4","50","49.8"
"NVCT","Nuvectis Pharma Inc.","MEDICAL","17.0","151.4","165.4","99","717.5"
"AMPG","Amplitech Group Inc.","CHIPS","-33.2","137.2","53.0","90","124.4"
"AZUL","Azul S.A. ADR","TRANSPORTATION","0.1","130.8","0.0","59","1625.7"
"APPS","Digital Turbine Inc.","SOFTWARE","-37.5","128.3","54.4","94","990.5"
"TTRX","Turn Therapeutics Inc.","MEDICAL","14.5","126.5","102.9","94","245.8"
"MBX","MBX Biosciences Inc.","MEDICAL","19.4","118.2","78.9","99","3163.3"
"ADIL","Adial Pharmaceuticals Inc.","MEDICAL","30.5","116.9","-37.3","0","7.2"
"LQDA","Liquidia Corp.","MEDICAL","5.5","114.5","98.4","99","7719.0"
"TXG","10x Genomics Inc.","MEDICAL","23.3","114.4","134.0","99","6275.4"
"VEEE","Twin Vee PowerCats Co.","LEISURE","125.4","113.4","-79.5","0","7.2"
"ALOT","AstroNova Inc.","COMPUTER","1.7","112.9","218.5","99","226.1"
"MNPR","Monopar Therapeutics Inc.","MEDICAL","17.0","107.8","79.4","97","768.1"
"ASTC","Astrotech Corp.","MACHINE","-40.0","106.3","104.4","94","12.6"
"LNVGY","Lenovo Group Ltd. ADR","COMPUTER","4.2","105.2","169.1","99","34381.2"
"OKTA","Okta Inc. Cl A","SOFTWARE","4.0","92.7","68.0","96","24406.0"
