Symbol,Name,Current Price,Market Cap (mil),RS Rating,Comp Rating,EPS Rating,SMR Rating,A/D Rating,Quality Score,% Chg 3 Months,% Chg 6 Months
SEZL,Sezzle Inc.,174.67,6068,95,99,97,NA,NA,72.9,116.4,155
RCRUY,Recruit Holdings Co. Ltd. ADR,15.96,105423,94,99,96,NA,NA,72.4,67.4,37.2
PNTG,Pennant Group Inc.,41.95,1450,94,99,94,NA,NA,72,36.5,43.9
TRGP,Targa Resources Corp.,282.91,60158,91,99,97,NA,NA,71.9,20.1,52.6
RDVT,Red Violet Inc.,65.21,933,90,99,98,NA,NA,71.8,65.4,29.9
VICR,Vicor Corp.,237.62,10502,96,92,99,NA,NA,71.8,9,58.5
STRL,Sterling Infrastructure Inc.,638.56,19680,97,90,99,NA,NA,71.6,37.7,81.9
TENB,Tenable Holdings Ltd.,39.88,4386,92,98,95,NA,NA,71.5,106.1,80.3
VCTR,Victory Capital Holdings Inc. Cl A,98.52,6289,92,99,93,NA,NA,71.3,33.4,45.2
STT,State Street Corp.,182.5,51385,92,98,94,NA,NA,71.3,25.5,42.6
TRV,Travelers Cos. Inc.,368.98,71836,87,99,99,NA,NA,71.3,22.7,37
SN,SharkNinja Inc.,154.53,21824,90,99,95,NA,NA,71.2,29.2,21.6
WT,WisdomTree Inc.,20.05,3083,88,97,99,NA,NA,71,14.8,32.3
PGNY,Progyny Inc.,31.93,2496,91,99,92,NA,NA,70.9,76.2,30.2
SIMO,Silicon Motion Technology Corp. ADR,264.32,9144,99,95,87,NA,NA,70.9,89.2,134.2
TWLO,Twilio Inc. Cl A,206.78,31372,96,91,95,NA,NA,70.8,47.6,73.7
SMFG,Sumitomo Mitsui Financial Group Inc. ADR,24.95,165172,88,98,96,NA,NA,70.7,15.2,17.1
SITM,SiTime Corp.,554.97,14903,95,88,99,NA,NA,70.6,10.2,49.4
VLO,Valero Energy Corp.,309.65,89157,95,98,86,NA,NA,70.4,38.5,68.8
XMTR,Xometry Inc. Cl A,98.54,5327,98,96,83,NA,NA,70.1,99.5,59.6
WELL,Welltower Inc.,243.25,170471,86,99,93,NA,NA,69.8,15.5,27.1
YOU,Clear Secure Inc.,56.03,7275,90,98,89,NA,NA,69.8,5.7,60.5
RY,Royal Bank of Canada,215.43,300249,89,99,88,NA,NA,69.6,20.7,27.3
SPB,Spectrum Brands Holdings Inc.,88.69,2078,85,95,98,NA,NA,69.6,4.7,43.2
VBNK,VersaBank,21.15,695,93,94,89,NA,NA,69.6,31.6,35.4
VMD,Viemed Healthcare Inc.,12.15,464,94,96,85,NA,NA,69.5,24.7,65.8
QLYS,Qualys Inc.,159.43,5549,86,99,91,NA,NA,69.4,91.7,18.5
RPRX,Royalty Pharma PLC,58.18,33706,90,98,87,NA,NA,69.4,16.4,47.1
SKWD,Skyward Specialty Insurance Group Inc.,59.21,2371,82,98,97,NA,NA,69.4,26.4,27.4
SMTC,Semtech Corp.,124.96,11891,96,88,92,NA,NA,69.4,16,61.1
