"Symbol","Name","Sector","RS_Rating","EPS_Rating","Comp_Rating","Composite_Score","Market_Cap_(mil)","Current_Price"
"CLS","Celestica","ELECTRNCS",98,99,99,98.6666666666667,34120.8,296.62
"FIX","Comfort Systems USA","BUILDING",96,99,99,98,34633.9,981.66
"STRL","Sterling Infrastructure","BUILDING",96,99,99,98,11531.2,379.08
"PLTR","Palantir Technologies","SOFTWARE",96,98,99,97.6666666666667,438005.5,184.63
"RMBS","Rambus","CHIPS",95,99,99,97.6666666666667,11342.5,105.42
"GFI","Gold Fields ADR","MINING",96,97,99,97.3333333333333,36086.4,40.3
"APH","Amphenol Cl A","ELECTRNCS",93,99,99,97,163383.6,133.82
"AVGO","Broadcom","CHIPS",93,99,99,97,1672331.1,354.13
"NXT","Nextracker","ENERGY",97,96,98,97,14541.8,98.28
"PBYI","Puma Biotechnology","MEDICAL",94,99,98,97,263.4,5.23
"PRIM","Primoris Services","BUILDING",95,97,99,97,7689.7,142.37
"SEI","Solaris Energy Infr","CHEMICAL",97,96,98,97,3441.3,50.92
"TTMI","TTM Technologies","ELECTRNCS",97,96,98,97,6069.6,58.75
"AGX","Argan","BUILDING",94,99,97,96.6666666666667,4095.7,296.55
"FUTU","Futu Holdings ADR","FINANCE",93,99,98,96.6666666666667,24605,178.38
"IDCC","InterDigital","ELECTRNCS",96,97,97,96.6666666666667,9769.2,378.62
"IESC","IES Holdings","BUSINS SVC",94,98,98,96.6666666666667,8675.8,436.98
"TTI","Tetra Technologies","ENERGY",97,98,95,96.6666666666667,1044.9,7.84
"VRT","Vertiv Holdings","MACHINE",93,98,99,96.6666666666667,71137.8,186.06
"WLDN","Willdan Group","BUILDING",96,95,99,96.6666666666667,1501.3,102.37
