"Symbol","Name","Sector","EPS_Rating","P.E_Ratio_Rank_in_Grp","ROE","Market_Cap_.mil.","Current_Price"
"PLTR","Palantir Technologies","SOFTWARE","99","4","30.9","305094.1","128.06"
"TWFG","TWFG","INSURANCE","99","5","64.2","1007.1","17.92"
"FIX","Comfort Systems USA","BUILDING","99","7","48.8","56026.6","1592.84"
"IBKR","Interactive Brokers","FINANCE","99","7","20.2","31706.0","71.21"
"CLS","Celestica","ELECTRNCS","99","10","34.2","40413.3","351.31"
"ESE","ESCO Technologies","MACHINE","99","12","11.3","8042.7","310.59"
"PAY","Paymentus Holdings","FINANCE","99","12","16.2","3051.4","24.36"
"AORT","Artivion","MEDICAL","99","15","8.2","1801.8","37.63"
"PLMR","Palomar Holdings","INSURANCE","99","15","25.9","3386.8","127.80"
"HWM","Howmet Aerospace","AEROSPACE","99","16","31.0","101305.5","252.67"
"ANET","Arista Networks","COMPUTER","99","19","33.6","185150.7","147.35"
"NPKI","NPK International","ENERGY","99","20","10.7","1270.4","15.03"
"NBBK","NB Bancorp","BANKS","99","21","5.9","892.1","22.40"
"EZPW","Ezcorp Cl A","FINANCE","99","23","12.0","1747.0","28.69"
"MEDP","Medpace Holdings","MEDICAL","99","23","70.2","14006.9","493.53"
"RDVT","Red Violet","BUSINS SVC","99","23","19.0","496.2","35.52"
"ENLT","Enlight Renewable Energy","ENERGY","99","25","9.2","8907.6","74.59"
"NWG","NatWest Group ADR","BANKS","99","27","14.7","127627.8","16.55"
"TFPM","Triple Flag Prec Metals","MINING","99","28","10.9","7177.0","35.63"
"LWAY","Lifeway Foods","FOOD/BEV","98","1","17.6","360.1","23.77"
