Symbol,Name,Current Price,Market Cap (mil),RS Rating,Comp Rating,EPS Rating,SMR Rating,A/D Rating,Quality Score,% Chg 3 Months,% Chg 6 Months
CLS,Celestica,296.62,34121,98,99,99,A,A-,95.3,80.9,221.9
EME,EMCOR Group,748.24,33494,91,99,98,A,A,94.6,29.3,86.8
CAMT,Camtek,119.15,5434,89,97,96,A,A+,94.4,26.4,78
NXT,Nextracker,98.28,14542,97,98,96,A,A-,94.2,55,132.1
APH,Amphenol Cl A,133.82,163384,93,99,99,A,A-,94,28.1,76
FSM,Fortuna Mining,8.16,2502,90,99,94,A,A,93.6,18.4,33.1
GLW,Corning,87.41,74877,94,98,89,A,A,93.3,56.9,99.2
IBEX,IBEX,38.19,508,93,97,97,A,A-,93.2,25.2,55.5
PAHC,Phibro Animal Health,42.33,1716,95,98,93,A,A-,93.1,43.8,134.9
AVGO,Broadcom,354.13,1672331,93,99,99,A,B+,92.8,22.7,88.2
MU,Micron Technology,219.02,245842,97,99,81,A,A,92.7,96,182.9
VRT,Vertiv Holdings,186.06,71138,93,99,98,A,B+,92.6,42.2,121.8
WDC,Western Digital,129.43,44902,97,99,80,A,A,92.5,87.5,222.2
MEDP,Medpace Holdings,605.2,17002,94,98,97,A,B+,92.4,32.8,99.8
ATAT,Atour Lifestyle Hldgs ADR,39.8,5555,88,97,98,A,A-,92.1,11.5,67.4
RMBS,Rambus,105.42,11342,95,99,99,A,B,92,64.2,113.6
AII,Amer Integrity Ins,24.16,473,89,98,81,A,A+,91.7,38,NA
PRIM,Primoris Services,142.37,7690,95,99,97,B,A,91.7,58.3,139.5
GILT,Gilat Satellite Networks,14.86,847,97,98,89,B,A+,91.6,91,135.9
IESC,IES Holdings,436.98,8676,94,98,98,A,B,91.3,33.1,123.3
IRMD,iRadimed,78.47,998,90,95,94,A,A-,91.3,38.6,47.7
SHOP,Shopify,172.95,224776,94,96,94,A,B+,91.3,41.7,81.8
UI,Ubiquiti,735.63,44504,96,98,89,A,B+,91.3,64.4,135.1
PEGA,Pegasystems,66.27,11248,86,97,96,A,A-,91.2,14.1,45.1
ATGE,Adtalem Global Education,152.97,5558,92,95,97,A,B+,91.2,33.8,46.5
FIX,Comfort Systems USA,981.66,34634,96,99,99,A,B-,91,74.4,160.9
NVMI,Nova,345.06,10145,92,98,99,A,B,91,31.9,75.4
ANIP,ANI Pharmaceuticals,94.24,2045,91,98,93,A,B+,90.8,41.1,35.3
KGC,Kinross Gold,23.94,29178,95,99,93,A,B,90.8,51.1,63.2
MPWR,Monolithic Power Systems,1074.91,51480,92,98,98,A,B,90.8,50.8,85.1
